Name,Salenum,Price,i+1,j,编号,编号（模板）,PRICE,SALENUM,SALE
['【亏本 买一送一】斗嘴食间锅巴208g/400g手工老襄阳麻辣二阳零食'],[230995],[8.9],[117],食品,,,8.9,230995,2055855.5
['新疆特产大枣和田特级红枣5斤/3斤/1斤装一级正宗免洗特级大红枣'],[51176],[7.9],[118],食品,,,7.9,51176,404290.4
['友梦 闽南特产肉松饼早餐点心整箱1000g'],[2652],[16.9],[119],食品,,,16.9,2652,44818.8
['【派力特】掌心脆方便面干脆面干吃面点心面香脆面火鸡面多规可选'],[2340585],[5.9],[120],食品,,,5.9,2340585,13809451.5
['贵州茅台集团白金酒公司白金原酿酒总裁订制酱香贵州白酒送礼盒'],[2403],[94.0],[121],食品,,,94,2403,225882
['【2斤约112包】台湾米饼能量棒蛋黄/芝士味 儿童零食早餐饼干150g'],[1184980],[5.9],[122],食品,,,5.9,1184980,6991382
['送鹌鹑蛋【限时特价5包=24.9圆】螺乐会正宗柳州螺蛳粉300g/包'],[90669],[24.9],[123],食品,,,24.9,90669,2257658.1
['干净无沙 1斤装500g桑葚干 特级黑桑葚干 天然食用个大免洗'],[73274],[19.8],[124],食品,,,19.8,73274,1450825.2
['【4斤更实惠】优格蛋糕2斤/300克可选儿童早餐蛋糕休闲零食糕点'],[134926],[9.45],[125],食品,,,9.45,134926,1275050.7
['河南农家纯手工无添加红薯粉条 假一赔十 纯红薯粉条2500克散装'],[2158],[18.9],[126],食品,,,18.9,2158,40786.2
['新疆特产和田大枣玉枣骏枣一级红枣干果2500g整箱免洗可夹核桃仁'],[13280],[14.9],[127],食品,,,14.9,13280,197872
['【抹茶味/香芋味】3斤独立小包装 绿豆饼 独立包装传统手工糕饼'],[10475],[19.9],[128],食品,,,19.9,10475,208452.5
['【2斤】豆干香菇豆干豆腐干辣条小包装休闲零食散装食品批发200g'],[172166],[8.0],[129],食品,,,8,172166,1377328
['七夕情人节德芙巧克力礼盒装星空棒棒糖送女友创意浪漫生日礼物'],[868],[128.0],[130],食品,,,128,868,111104
['【每天现做】五仁月饼1000g多口味零食糕点独立包装多规格可选'],[77599],[9.9],[131],食品,,,9.9,77599,768230.1
['爱此山 坚果麦片水果燕麦片500g即食早餐冲饮无加糖谷物代餐'],[165519],[12.8],[132],食品,,,12.8,165519,2118643.2
['祛湿茶去除湿气湿热排毒养颜健脾减肥瘦身红豆芡实薏米茶买二送一'],[987],[24.52],[133],食品,,,24.52,987,24201.24
